Регион 01,Республика Адыгея
Регион 02,Республика Башкортостан (1993-2006 гг)
Регион 03,Республика Бурятия
Регион 04,Республика Алтай
Регион 05,Республика Дагестан
Регион 06,Республика Ингушетия
Регион 07,Кабардино-Балкарская Республика
Регион 08,Республика Калмыкия
Регион 09,Карачаево-Черкесская Республика
Регион 10,Республика Карелия
Регион 11,Республика Коми
Регион 12,Республика Марий Эл
Регион 13,Республика Мордовия
Регион 14,Республика Саха (Якутия)
Регион 15,Республика Северная Осетия - Алания
Регион 16,Республика Татарстан (1993-2006 гг)
Регион 17,Республика Тыва
Регион 18,Удмуртская Республика
Регион 19,Республика Хакасия
Регион 20,Чеченская республика (1993-2000 гг)
Регион 21,Чувашская Республика
Регион 22,Алтайский край
Регион 23,Краснодарский край (1993-2005 гг)
Регион 24,Красноярский край (1993-2009 гг)
Регион 25,Приморский край (1993-2005 гг)
Регион 26,Ставропольский край
Регион 27,Хабаровский край
Регион 28,Амурская область
Регион 29,Архангельская область
Регион 30,Астраханская область
Регион 31,Белгородская область
Регион 32,Брянская область
Регион 33,Владимирская область
Регион 34,Волгоградская область (1993-2012 гг)
Регион 35,Вологодская область
Регион 36,Воронежская область
Регион 37,Ивановская область
Регион 38,Иркутская область
Регион 39,Калининградская область
Регион 40,Калужская область
Регион 41,Камчатский край
Регион 42,Кемеровская область (1993-2011 гг)
Регион 43,Кировская область
Регион 44,Костромская область
Регион 45,Курганская область
Регион 46,Курская область
Регион 47,Ленинградская область
Регион 48,Липецкая область
Регион 49,Магаданская область
Регион 50,Московская область (1993-2001 гг)
Регион 51,Мурманская область
Регион 52,Нижегородская область (1993-2009 гг)
Регион 53,Новгородская область
Регион 54,Новосибирская область (1993-2010 гг)
Регион 55,Омская область
Регион 56,Оренбургская область
Регион 57,Орловская область
Регион 58,Пензенская область
Регион 59,Пермский край (1993-2010 гг)
Регион 60,Псковская область
Регион 61,Ростовская область (1993-2007 гг)
Регион 62,Рязанская область
Регион 63,Самарская область (1993-2007 гг)
Регион 64,Саратовская область
Регион 65,Сахалинская область
Регион 66,Свердловская область (1993-2006 гг)
Регион 67,Смоленская область
Регион 68,Тамбовская область
Регион 69,Тверская область
Регион 70,Томская область
Регион 71,Тульская область
Регион 72,Тюменская область
Регион 73,Ульяновская область
Регион 74,Челябинская область (1993-2007 гг)
Регион 75,Забайкальский край
Регион 76,Ярославская область
Регион 77,Москва (1993-1998 гг)
Регион 78,Санкт-Петербург (1993-2004 гг)
Регион 79,Еврейская автономная область
Регион 80,Забайкальский край
Регион 81,Пермский край
Регион 82,Республика Крым (с 2014 г)
Регион 83,Ненецкий автономный округ
Регион 84,Красноярский край
Регион 85,Иркутская область
Регион 86,Ханты-Мансийский АО (1993-2012 гг)
Регион 87,Чукотский автономный округ
Регион 88,Красноярский край
Регион 89,Ямало-Ненецкий автономный округ
Регион 90,Московская область (2001-2006 гг)
Регион 91,Калининградская область
Регион 92,Севастополь (с 2014 г)
Регион 93,Краснодарский край (2005-2011 гг)
Регион 94,Байконур
Регион 95,Чеченская республика (после 2000 г)
Регион 96,Свердловская область (2006-2013 гг)
Регион 97,Москва (2002-2005 гг)
Регион 98,Санкт-Петербург (2004-2010 гг)
Регион 99,Москва (1998-2002 гг)
Регион 101,Республика Адыгея
Регион 102,Республика Башкортостан (после 2006 г)
Регион 103,Республика Бурятия
Регион 109,Карачаево-Черкесская Республика
Регион 113,Республика Мордовия
Регион 116,Республика Татарстан (после 2006 г)
Регион 118,Удмуртская Республика
Регион 121,Чувашская Республика
Регион 123,Краснодарский край (после 2011 г)
Регион 124,Красноярский край (после 2009 г)
Регион 125,Приморский край (после 2005 г)
Регион 134,Волгоградская область (после 2012 г)
Регион 136,Воронежская область
Регион 138,Иркутская область
Регион 142,Кемеровская область (после 2011 г)
Регион 150,Московская область (2006-2009 гг)
Регион 152,Нижегородская область (после 2009 г)
Регион 154,Новосибирская область (после 2010 г)
Регион 159,Пермский край (после 2010 г)
Регион 161,Ростовская область (после 2007 г)
Регион 163,Самарская область (после 2007 г)
Регион 164,Саратовская область
Регион 173,Ульяновская область
Регион 174,Челябинская область (после 2007 гг)
Регион 177,Москва (2005-2007 гг)
Регион 178,Санкт-Петербург (после 2010 г)
Регион 186,Ханты-Мансийский АО (после 2012 г)
Регион 190,Московская область (2009-2013 гг)
Регион 196,Свердловская область (после 2013 г)
Регион 197,Москва (2010-2013 гг)
Регион 199,Москва (2007-2010 гг)
Регион 750,Московская область (после 2013 г)
Регион 777,Москва (после 2013 г)
